Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
The Originals,tt2632424,2013–2018,"Drama, Fantasy, Horror","Stars:, Joseph Morgan, , Daniel Gillies, , Claire Holt, , Phoebe Tonkin",A family of power-hungry thousand-year-old vampires look to take back the city that they built and dominate all those who have done them wrong.,8.3,45 min,TV-14,140944,
The Haunting of Hill House,tt6763664,2018,"Drama, Horror, Mystery","Stars:, Michiel Huisman, , Carla Gugino, , Henry Thomas, , Elizabeth Reaser","Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.",8.6,572 min,TV-MA,258994,
Last Night in Soho,tt9639470,2021,"Drama, Horror, Mystery","Director:, Edgar Wright, | ,     Stars:, Thomasin McKenzie, , Anya Taylor-Joy, , Matt Smith, , Diana Rigg","An aspiring fashion designer is mysteriously able to enter the 1960s, where she encounters a dazzling wannabe singer. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something darker.",7.0,116 min,R,150933,
Alien: Covenant,tt2316204,2017,"Horror, Sci-Fi, Thriller","Director:, Ridley Scott, | ,     Stars:, Michael Fassbender, , Katherine Waterston, , Billy Crudup, , Danny McBride","The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.",6.4,122 min,R,290101,"74,262,031"
Terrifier,tt4281724,2016,"Horror, Thriller","Director:, Damien Leone, | ,     Stars:, Jenna Kanell, , Samantha Scaffidi, , David Howard Thornton, , Catherine Corcoran","On Halloween night, Tara Heyes finds herself as the obsession of a sadistic murderer known as Art the Clown.",5.6,85 min,Unrated,42279,
The Exorcist,tt0070047,1973,Horror,"Director:, William Friedkin, | ,     Stars:, Ellen Burstyn, , Max von Sydow, , Linda Blair, , Lee J. Cobb","When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.",8.1,122 min,R,421689,"232,906,145"
The Conjuring,tt1457767,2013,"Horror, Mystery, Thriller","Director:, James Wan, | ,     Stars:, Patrick Wilson, , Vera Farmiga, , Ron Livingston, , Lili Taylor",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,7.5,112 min,R,525481,"137,400,141"
Jennifer's Body,tt1131734,2009,"Comedy, Horror","Director:, Karyn Kusama, | ,     Stars:, Megan Fox, , Amanda Seyfried, , Adam Brody, , Johnny Simmons",A newly-possessed high-school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?,5.4,102 min,R,141575,"16,204,793"
1899,tt9319668,2022,"Drama, Horror, Mystery","Stars:, Emily Beecham, , Aneurin Barnard, , Andreas Pietschmann, , Miguel Bernardeau",Multinational immigrants traveling from the old continent to the new encounter a nightmarish riddle aboard a second ship adrift on the open sea.,7.4,60 min,TV-MA,98370,
The Blackening,tt11703244,2022,"Comedy, Horror, Thriller","Director:, Tim Story, | ,     Stars:, Antoinette Robertson, , Dewayne Perkins, , Sinqua Walls, , Grace Byers",Seven black friends who go away for the weekend only to find themselves trapped in a cabin with a killer who has a vendetta. Will their street smarts and knowledge of horror movies help them stay alive? Probably not.,5.1,96 min,R,295,
Curve,tt3212904,2015,"Horror, Thriller","Director:, Iain Softley, | ,     Stars:, Julianne Hough, , Teddy Sears, , Penelope Mitchell, , Madalyn Horcher",A soon-to-be bride on her way to a wedding rehearsal is having second thoughts and decides to take a detour. Car breaks down and a hitchiker offers help. Could it be fate?,5.4,85 min,R,10156,
Mother!,tt5109784,2017,"Drama, Horror, Mystery","Director:, Darren Aronofsky, | ,     Stars:, Jennifer Lawrence, , Javier Bardem, , Ed Harris, , Michelle Pfeiffer","A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.",6.6,121 min,R,236242,"17,800,004"
Under the Skin,tt1441395,I) (2013,"Drama, Horror, Mystery","Director:, Jonathan Glazer, | ,     Stars:, Scarlett Johansson, , Jeremy McWilliams, , Lynsey Taylor Mackay, , Dougie McConnell","A mysterious young woman seduces lonely men in the evening hours in Scotland. However, events lead her to begin a process of self-discovery.",6.3,108 min,R,149569,"2,605,039"
The Thing,tt0084787,1982,"Horror, Mystery, Sci-Fi","Director:, John Carpenter, | ,     Stars:, Kurt Russell, , Wilford Brimley, , Keith David, , Richard Masur",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,8.2,109 min,16+,439108,"13,782,838"
Firebrand,tt15000156,2023,"Drama, History, Horror","Director:, Karim Aïnouz, | ,     Stars:, Alicia Vikander, , Jude Law, , Eddie Marsan, , Sam Riley",Follows Queen Catherine Parr and Henry VIII's marriage.,6.2,120 min,,136,
Ready or Not,tt7798634,I) (2019,"Action, Comedy, Horror","Directors:, Matt Bettinelli-Olpin, , Tyler Gillett, | ,     Stars:, Samara Weaving, , Adam Brody, , Mark O'Brien, , Henry Czerny",A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,6.8,95 min,R,164123,"28,714,231"
