Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Star Trek: Picard,tt8806524,2020–2023,"Action, Adventure, Drama","Stars:, Patrick Stewart, , Michelle Hurd, , Jeri Ryan, , Alison Pill",Follow-up series to Star Trek: The Next Generation (1987) and Star Trek: Nemesis (2002) that centers on Jean-Luc Picard in the next chapter of his life.,7.5,46 min,TV-MA,88378,
The Batman,tt1877830,2022,"Action, Crime, Drama","Director:, Matt Reeves, | ,     Stars:, Robert Pattinson, , Zoë Kravitz, , Jeffrey Wright, , Colin Farrell","When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",7.8,176 min,PG-13,701481,"369,345,583"
Superman & Lois,tt11192306,2021– ,"Action, Adventure, Drama","Stars:, Tyler Hoechlin, , Elizabeth Tulloch, , Alex Garfin, , Erik Valdez","The world's most famous superhero and comic books' most famous journalist face the pressures and complexities that come with balancing work, justice, and parenthood in today's society.",7.8,42 min,TV-PG,35803,
Guardians of the Galaxy Vol. 2,tt3896198,2017,"Action, Adventure, Comedy","Director:, James Gunn, | ,     Stars:, Chris Pratt, , Zoe Saldana, , Dave Bautista, , Vin Diesel","The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father, the ambitious celestial being Ego.",7.6,136 min,PG-13,716980,"389,813,101"
Inception,tt1375666,2010,"Action, Adventure, Sci-Fi","Director:, Christopher Nolan, | ,     Stars:, Leonardo DiCaprio, , Joseph Gordon-Levitt, , Elliot Page, , Ken Watanabe","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",8.8,148 min,PG-13,2415481,"292,576,195"
Mother's Day,tt19724192,2023,"Action, Drama, Thriller","Director:, Mateusz Rakowicz, | ,     Stars:, Agnieszka Grochowska, , Adrian Delikta, , Dariusz Chojnacki, , Paulina Chrusciel","Nina, a secretive ex-NATO Special Operations agent, must use all her lethal skills to save her son who has been kidnapped by ruthless gangsters. Finding Max is a double chance for her. A ...                See full summary »",5.3,94 min,TV-MA,1471,
The Dark Knight,tt0468569,2008,"Action, Crime, Drama","Director:, Christopher Nolan, | ,     Stars:, Christian Bale, , Heath Ledger, , Aaron Eckhart, , Michael Caine","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",9.0,152 min,PG-13,2721277,"534,858,444"
Top Gun,tt0092099,1986,"Action, Drama","Director:, Tony Scott, | ,     Stars:, Tom Cruise, , Tim Robbins, , Kelly McGillis, , Val Kilmer","As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",6.9,109 min,PG,475062,"179,800,601"
Chicago P.D.,tt2805096,2014– ,"Action, Crime, Drama","Stars:, Jason Beghe, , Patrick John Flueger, , Marina Squerciati, , LaRoyce Hawkins","Follows District 21 of the Chicago Police Department, made up of two different groups: the uniformed cops and the Intelligence Unit.",8.1,43 min,TV-14,41046,
NCIS: Los Angeles,tt1378167,2009–2023,"Action, Crime, Drama","Stars:, Chris O'Donnell, , Daniela Ruah, , LL Cool J, , Eric Christian Olsen","The Naval Criminal Investigation Service's Office of Special Projects takes on the undercover work and the hard to crack cases in LA. Key agents are G. Callen and Sam Hanna, streets kids risen through the ranks.",6.8,43 min,TV-14,55660,
Titans,tt1043813,I) (2018–2023,"Action, Adventure, Crime","Stars:, Brenton Thwaites, , Anna Diop, , Ryan Potter, , Teagan Croft","Dick and Rachel, a girl possessed by a strange darkness, get embroiled in a conspiracy that could bring Hell on Earth. Joining them along the way are the hot-headed Starfire and lovable Beast Boy. Together they become a team of heroes.",7.5,45 min,TV-MA,106612,
FBI,tt7491982,2018– ,"Action, Crime, Drama","Stars:, Missy Peregrym, , Zeeko Zaki, , Jeremy Sisto, , Alana De La Garza",Procedural drama about the inner workings of the New York office of the Federal Bureau of Investigation.,7.0,60 min,TV-14,20287,
Andor,tt9253284,2022– ,"Action, Adventure, Drama","Stars:, Diego Luna, , Kyle Soller, , Stellan Skarsgård, , Genevieve O'Reilly","Prequel series to Star Wars' 'Rogue One'. In an era filled with danger, deception and intrigue, Cassian will embark on the path that is destined to turn him into a Rebel hero.",8.4,40 min,TV-14,139638,
