Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Creed II,tt6343314,2018,"Action, Drama, Sport","Director:, Steven Caple Jr., | ,     Stars:, Michael B. Jordan, , Sylvester Stallone, , Tessa Thompson, , Phylicia Rashad","Under the tutelage of Rocky Balboa, newly crowned heavyweight champion Adonis Creed faces off against Viktor Drago, the son of Ivan Drago.",7.1,130 min,PG-13,144642,"115,715,889"
GLOW,tt5770786,2017–2019,"Comedy, Drama, Sport","Stars:, Alison Brie, , Marc Maron, , Betty Gilpin, , Britt Baron",A look at the personal and professional lives of a group of women who perform for a wrestling organization in Los Angeles during the 1980s.,8.0,35 min,TV-MA,48522,
The Waterboy,tt0120484,1998,"Comedy, Sport","Director:, Frank Coraci, | ,     Stars:, Adam Sandler, , Kathy Bates, , Henry Winkler, , Fairuza Balk",A waterboy for a college football team discovers he has a unique tackling ability and becomes a member of the team.,6.1,90 min,PG-13,170847,"161,491,646"
Talladega Nights: The Ballad of Ricky Bobby,tt0415306,2006,"Comedy, Sport","Director:, Adam McKay, | ,     Stars:, Will Ferrell, , John C. Reilly, , Sacha Baron Cohen, , Gary Cole","Number one NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test.",6.6,108 min,PG-13,191325,"148,213,377"
Unbroken,tt1809398,I) (2014,"Action, Biography, Drama","Director:, Angelina Jolie, | ,     Stars:, Jack O'Connell, , Miyavi, , Domhnall Gleeson, , Garrett Hedlund","After a near-fatal plane crash in WWII, Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp.",7.2,137 min,PG-13,174202,"115,637,895"
The Replacements,tt0191397,2000,"Comedy, Sport","Director:, Howard Deutch, | ,     Stars:, Keanu Reeves, , Gene Hackman, , Brooke Langton, , Orlando Jones","During a pro football strike, the owners hire substitute players.",6.6,118 min,PG-13,67239,"44,737,059"
Dark Side of the Ring,tt9159144,2019– ,"Documentary, Drama, History","Stars:, Chris Jericho, , Steve Kasan, , James E. Cornette, , Jim Ross","From backstage controversies to mysterious deaths and unsolved homicides, this series explores the darkest stories from the golden age of professional wrestling, and tries to find truth at the intersection of fantasy and reality.",8.7,60 min,TV-14,3229,
The Fighter,tt0964517,I) (2010,"Action, Biography, Drama","Director:, David O. Russell, | ,     Stars:, Mark Wahlberg, , Christian Bale, , Amy Adams, , Melissa Leo","Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",7.8,116 min,R,377263,"93,617,009"
Field of Dreams,tt0097351,1989,"Drama, Family, Fantasy","Director:, Phil Alden Robinson, | ,     Stars:, Kevin Costner, , James Earl Jones, , Ray Liotta, , Amy Madigan","Iowa farmer Ray Kinsella is inspired by a voice he can't ignore to pursue a dream he can hardly believe. Supported by his wife, Ray begins the quest by turning his ordinary cornfield into a place where dreams can come true.",7.5,107 min,PG,122956,"64,431,625"
Lamborghini: The Man Behind the Legend,tt5533370,2022,"Biography, Drama, Sport","Director:, Bobby Moresco, | ,     Stars:, Frank Grillo, , Mira Sorvino, , Gabriel Byrne, , Eliana Jones","The life story of Ferruccio Lamborghini, the founder of Lamborghini.",5.4,97 min,R,7668,
Fighting with My Family,tt6513120,2019,"Biography, Comedy, Drama","Director:, Stephen Merchant, | ,     Stars:, Dwayne Johnson, , Lena Headey, , Vince Vaughn, , Florence Pugh",A former wrestler and his family make a living performing at small venues around the country while his kids dream of joining World Wrestling Entertainment.,7.1,108 min,PG-13,84536,"22,958,886"
Top Gear,tt1628033,2002– ,"Adventure, Comedy, Sport","Stars:, Jeremy Clarkson, , Richard Hammond, , James May, , The Stig","The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.",8.7,60 min,TV-PG,122273,
Major League,tt0097815,1989,"Comedy, Sport","Director:, David S. Ward, | ,     Stars:, Tom Berenger, , Charlie Sheen, , Corbin Bernsen, , Margaret Whitton","The new owner of the Cleveland Indians puts together a purposely horrible team so they'll lose and she can move the team. But when the plot is uncovered, they start winning just to spite her.",7.2,107 min,R,72874,"49,797,148"
Molly's Game,tt4209788,2017,"Biography, Crime, Drama","Director:, Aaron Sorkin, | ,     Stars:, Jessica Chastain, , Idris Elba, , Kevin Costner, , Michael Cera","The true story of Molly Bloom, an Olympic-class skier who ran the world's most exclusive high-stakes poker game and became an FBI target.",7.4,140 min,R,179406,"28,780,744"
3 Ninjas,tt0103596,1992,"Action, Comedy, Family","Director:, Jon Turteltaub, | ,     Stars:, Victor Wong, , Michael Treanor, , Max Elliott Slade, , Chad Power","Each year, three brothers visit their grandfather for the summer. He is highly skilled in ninjutsu, and for years he has trained the boys in his techniques.",5.3,84 min,PG,22423,"29,000,301"
Haikyu!!,tt3398540,2014–2020,"Animation, Comedy, Drama","Stars:, Ayumu Murase, , Kaito Ishikawa, , Yu Hayashi, , Satoshi Hino","Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club.",8.7,24 min,TV-14,29297,
Space Jam,tt0117705,1996,"Animation, Adventure, Comedy","Director:, Joe Pytka, | ,     Stars:, Michael Jordan, , Wayne Knight, , Theresa Randle, , Manner Washington","In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan.",6.5,88 min,PG,204466,"90,463,534"
The Swimmers,tt8745676,2022,"Biography, Drama, Sport","Director:, Sally El Hosaini, | ,     Stars:, Matthias Schweighöfer, , Ali Suliman, , Manal Issa, , James Krishna Floyd","From war-torn Syria to the 2016 Rio Olympics, two young sisters embark on a harrowing journey as refugees, putting both their hearts and champion swimming skills to heroic use.",7.4,134 min,PG-13,30336,
The Basketball Diaries,tt0112461,1995,"Biography, Crime, Drama","Director:, Scott Kalvert, | ,     Stars:, Leonardo DiCaprio, , Lorraine Bracco, , Marilyn Sokol, , James Madio",A teenager finds his dreams of becoming a basketball star threatened after he free falls into the harrowing world of drug addiction.,7.3,102 min,R,115896,"2,424,439"
Nacho Libre,tt0457510,2006,"Comedy, Family, Sport","Director:, Jared Hess, | ,     Stars:, Jack Black, , Ana de la Reguera, , Héctor Jiménez, , Darius Rose","Berated all his life by those around him, a monk follows his dream and dons a mask to moonlight as a Luchador (Mexican wrestler).",5.8,92 min,PG,90582,"80,197,993"
Rookie of the Year,tt0107985,1993,"Comedy, Family, Fantasy","Director:, Daniel Stern, | ,     Stars:, Thomas Ian Nicholas, , Gary Busey, , Albert Hall, , Amy Morton","When an accident miraculously gives a boy an incredibly powerful pitching arm, he becomes a major league pitcher for the Chicago Cubs.",6.1,103 min,PG,29664,"53,579,269"
Point Break,tt2058673,2015,"Action, Adventure, Crime","Director:, Ericson Core, | ,     Stars:, Edgar Ramírez, , Luke Bracey, , Ray Winstone, , Teresa Palmer","A young FBI agent infiltrates an extraordinary team of extreme sports athletes he suspects of masterminding a string of unprecedented, sophisticated corporate heists.",5.3,114 min,PG-13,64621,"28,782,481"
A League of Their Own,tt8226360,2022– ,"Comedy, Drama, Sport","Stars:, Abbi Jacobson, , Chanté Adams, , D'Arcy Carden, , Gbemisola Ikumelo",Comedy series about the WWII All-American professional women's baseball league.,7.6,60 min,,23547,
The Rookie,tt0265662,2002,"Drama, Family, Sport","Director:, John Lee Hancock, | ,     Stars:, Dennis Quaid, , JD Evermore, , Rachel Griffiths, , Jay Hernandez",A Texas baseball coach makes the major league after agreeing to try out if his high school team made the playoffs.,6.9,127 min,G,36033,"75,600,072"
Southpaw,tt1798684,2015,"Action, Crime, Drama","Director:, Antoine Fuqua, | ,     Stars:, Jake Gyllenhaal, , Rachel McAdams, , Oona Laurence, , Forest Whitaker","After a fatal incident sends him on a rampant path of destruction, a champion boxer fights to get custody of his daughter and revive his professional career.",7.3,124 min,R,247239,"52,421,953"
The Mighty Ducks,tt0104868,1992,"Comedy, Drama, Family","Director:, Stephen Herek, | ,     Stars:, Emilio Estevez, , Joss Ackland, , Lane Smith, , Heidi Kling",A self-centered Minnesota lawyer is sentenced to community service coaching a rag tag youth hockey team.,6.5,104 min,PG,68969,"50,752,337"
