Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Square Dance Jubilee,tt0041914,1949,"Musical, Western","Director:, Paul Landres, | ,     Stars:, Don 'Red' Barry, , Mary Beth Hughes, , Wally Vernon, , Spade Cooley","Two talent scouts for a New York-based country music TV show called ""Square Dance Jubilee"" are sent out West to get authentic western singing acts. They find what they're looking for, but also get mixed up in cattle rustling and murder.",4.0,79 min,Approved,49,
The Silver Bullet,tt0026999,1935,Western,"Director:, Bernard B. Ray, | ,     Stars:, Tom Tyler, , Jayne Regan, , Lafe McKee, , Charles King","Tom Henderson is made Sheriff of Chico to fight Slim Walker's gang. Unknown to Tom, banker Luke Hargrave is the gang's real boss. Dad Kane is looking for the man that blinded him whom he ...                See full summary »",6.0,58 min,Approved,38,
Code of the Rangers,tt0030001,1938,"Drama, Western","Director:, Sam Newfield, | ,     Stars:, Tim McCoy, , Rex Lease, , Judith Ford, , Wheeler Oakman","Brothers Tim and Jack are Rangers after Blackie Miller. When Tim learns Jack broke one of Miller's men out of jail, he doesn't report it but has him resign. Later when the bank is robbed, ...                See full summary »",6.0,56 min,Passed,18,
Frontier Town,tt0030160,1938,"Drama, Music, Western","Director:, Ray Taylor, | ,     Stars:, Tex Ritter, , Karl Hackett, , White Flash, , Ann Evers","Regan is passing off counterfeit money at rodeos betting on his man Denby. When Tex appears and wins all the events, Regan has him accused of murder. As Tex looks for the counterfeiters, ...                See full summary »",5.1,59 min,Passed,78,
Santa Fe Bound,tt0028218,1936,Western,"Director:, Harry S. Webb, | ,     Stars:, Tom Tyler, , Jeanne Martel, , Richard Cramer, , Slim Whitaker",When Crenshaw kills a bushwhacker he takes his letter of introduction. This letter saves him from hanging when Stanton thinks he is the outlaw he has hired. But Crenshaw is in more trouble when Denton arrives and exposes him as a fake.,5.1,58 min,Passed,82,
Storm Over Wyoming,tt0043003,1950,"Drama, Western","Director:, Lesley Selander, | ,     Stars:, Tim Holt, , Noreen Nash, , Tom Keene, , Betty Underwood","Dave Saunders and his sidekick Chito, cowhands looking for work, arrive in Sundown Valley, Wyoming just in time to stop sheep ranch foreman Jess Rawlins from lynching cattleman Tug Caldwell...                See full summary »",6.0,61 min,Passed,173,
Silo Killer 2: The Wrath of Kyle,tt0431402,2009 Video,"Comedy, Horror, Western","Director:, Bill Koning, | ,     Stars:, Brian Reid, , Chad Campbell, , David C. Hayes, , Kevin Moyers","This time, the Silo Killer is hunted down by the brother of one of his original victims, a bounty hunter, Kyle and his sidekick The White Knight Ninja Of Sorts.",5.8,90 min,Not Rated,41,
A filha do padre,tt0260904,1975,Western,"Director:, Tony Vieira, | ,     Stars:, Tony Vieira, , Antônio Ananias, , Enoque Batista, , Affonso Brazza","Bounty hunter protects a plundered town, with the help of the local priest's daughter.",5.7,103 min,,20,
The Double-Barrelled Detective Story,tt0189485,1965,"Comedy, Western","Director:, Adolfas Mekas, | ,     Stars:, Jeff Siggins, , Greta Thyssen, , Hurd Hatfield, , Jerome Raphael",Western parody of the original Mark Twain story about Sherlock Holmes in the American West.,6.1,90 min,,11,
The Thundering Trail,tt0044129,1951,"Drama, Western","Director:, Ron Ormond, | ,     Stars:, Lash La Rue, , Al St. John, , Sally Anglim, , Archie Twitchell","Lash and Fuzzy have been sent to escort the new Governor to the Capitol City. West and his outlaw gang are out to stop them. When Lash's first attempt is foiled, he realizes the Governor's ...                See full summary »",6.5,55 min,Approved,35,
